,activity,predicted,predicted2
f5155ed2a100c1f2de0ce207a7b3d370574237bc,upgrade to 2.5.0,Core,src
49cfd05022b42041dd15d30e119c3a7fdcc5e88d,fix css syntax error,Core,src
137ddf54722464fad6b726e21b98cfc0580050ec,isSliding > isAutoSliding,Core,src
32865b43f8fd9cbf00733c59f171c11c39d8c93c,Put the timing code back in.,Core,src
7c7776a942b68c338c585e7538c5d692e5916b42,added missing comma on the configuration example,Core,src
b0ed09d744e9ab6acf8cd14fba5e59b152bab09f,added font license,Core,src
27f48f644039baddabf4de9a0f168779a81e0305,"significantly smaller js file header, added minified js",Core,src
9e78fe3ee215beb426ae7f44eb729a9be8bfddf6,Merge branch 'dev' of github.com,Core,src
40c4db1e04113f317048e8e97479b4fb3e3eb863,always use lowercase reveal.js,Core,src
d3ebbf1be72dc1ea17c7c6e48f8c362feb4deb94,Only call embedded content bits if the slide actually changed.,Core,src
7094f44eb9668f43046836936d1a925fc8698e49,merge conflicts w preview & backgrounds,Core,src
32736a791c3e56298e3359d58d9a5561eaa82a47,auto play/pause html5 media when entering/leaving slide (#388),Core,src
b6c7cda90819ba518c69cb56c7edd02acb7a6d72,ci fix attempt 2,Core,src
713702a0ab81d1756a30e6c14ae49afd42135541,Reduce required Node.js version to 4.0.0.,Core,src
a245a87e381b81168e730a6b4bf3d224b8931606,Merge pull request #1138 from denehyg/background-video-loop,Core,src
3a8bcb174ab536b778191f5c20f7bd5b5415acca,Merge pull request #691 from fghaas/section-fontweight,Core,src
90b301d0a03b8b23ce755c31ec6dac15cf69dc49,Enable passing options for parsing Markdown.,Core,src
ba6bec22c45033ae59ea878b928ab1985e0f1f81,use home and end key,Core,tools
922677ac66d6a40eba23e5f9ac3fc10d9145b203,fix notes regex #1522 #1392,Core,src
3e42929f9024acb0e3557c48b3ed5ad6ffcc0072,"check for 0 division, stops parallax failing if only the single horizontal slide and multiple vertical",Core,src
0748b683350b2bd633090f51a8e97b154671d2c8,renamed .remaining-height to .stretch #244 #490 #561,Core,src
a144134b42c15964f469cf4499859268f52ccb46,Merge branch 'dev' of github.com,Core,src
e6e80283f24f773ee8d0a5364634a06f081a1410,Update README.md,Core,src
0069e3ad14fda52c6ad2413c31131fd9e50800c3,CSS,Core,src
97b66d1fe052d7df2ee9d4f304fb9c58bf43e2cc,apply @knownasilya's first slide detection fix to dev branch #671,Core,src
2869f8a4ee23b061d293f927742a8daa1495246b,Add fullscreen mode,Core,src
2d21d128c5f0b1bf403d055de932e0d45a5c33b1,Merge branch 'master' of github.com,Core,src
939da8834e5c3cc53ff80ebe894502f4e2d6a193,have notes page only listen to one socket,Core,tools
929933ce9d57eac7cefca11e76dc7aaf33f03a78,Add travis.yml for CI build,Build,build
a22d00ab25b13b82d19890428f124b4ed3759f92,server side notes plugin now supports input via data-notes attribute,Core,src
a91d40191984679276a0549f5d8adc20005bc8d2,add default table styles (closes #62),Core,src
e460b2bd4b07652a489d60ce879548f22900c7cc,Merge pull request #1747 from spencermathews/feature/readme-defaults-fix,Core,src
